"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2019","1,797.81","1,797.05","1,797.81","1,795.79","","0.12%"
"08/02/2019","1,795.72","1,791.93","1,795.75","1,789.19","","0.10%"
"07/02/2019","1,793.91","1,794.89","1,795.60","1,789.07","","-0.13%"
"06/02/2019","1,796.33","1,796.13","1,796.50","1,795.25","","0.03%"
"05/02/2019","1,795.88","1,795.34","1,796.15","1,794.56","","0.06%"
"04/02/2019","1,794.75","1,790.48","1,794.78","1,790.11","","0.28%"
"01/02/2019","1,789.76","1,789.05","1,790.78","1,787.70","","0.10%"
"31/01/2019","1,787.92","1,781.53","1,788.60","1,780.68","","0.40%"
"30/01/2019","1,780.87","1,771.77","1,782.80","1,769.17","","0.86%"
"29/01/2019","1,765.67","1,767.80","1,770.00","1,761.23","","-0.06%"
"28/01/2019","1,766.77","1,763.59","1,766.80","1,757.06","","-0.36%"
"25/01/2019","1,773.22","1,771.73","1,775.15","1,770.55","","0.47%"
"24/01/2019","1,764.92","1,760.52","1,765.53","1,757.27","","0.22%"
"23/01/2019","1,761.08","1,763.14","1,765.41","1,748.49","","0.15%"
"22/01/2019","1,758.36","1,767.90","1,767.90","1,751.09","","-0.75%"
"18/01/2019","1,771.67","1,745.43","1,772.19","1,742.15","","0.01%"
